UF,região,população,casosPeríodo,óbitosPeríodo,óbitosPorCasos,casosPorCemMilHab,óbitosPorCemMilHab
Brasil,Brasil,210147125.0,2868853,51384,1.7910990908213142,1365.164048758697,24.45144086553647
AC,Norte,881935.0,12208,144,1.1795543905635648,1384.2289964679937,16.327733903292195
AL,Nordeste,3337357.0,22784,407,1.7863412921348316,682.6959177576747,12.195279078624193
AP,Norte,845731.0,17910,252,1.407035175879397,2117.6946333999817,29.796708409647984
AM,Norte,4144597.0,89194,3223,3.613471758190013,2152.0548318690576,77.76389357035195
BA,Nordeste,14873064.0,185035,1829,0.9884616423919799,1244.0946936018024,12.297398841287848
CE,Nordeste,9132078.0,72790,864,1.1869762329990383,797.080357833124,9.461154405382871
DF,Centro-Oeste,3015268.0,47964,624,1.300975731798849,1590.7043751998165,20.694677886012123
ES,Sudeste,4018650.0,104215,1585,1.5208943050424604,2593.283814216217,39.44110584400234
GO,Centro-Oeste,7018354.0,71156,1137,1.5978975771544213,1013.855955399229,16.20037974716009
MA,Nordeste,7075181.0,14318,401,2.800670484704568,202.36938108014482,5.667699525990925
MT,Centro-Oeste,3484466.0,57672,965,1.6732556526564017,1655.1173120931587,27.69434398269347
MS,Centro-Oeste,2778986.0,61960,1140,1.8398967075532604,2229.5902174390226,41.022157002590156
MG,Sudeste,21168791.0,318151,5019,1.5775527972566488,1502.924753709364,23.70943149280467
PA,Norte,8602865.0,58758,721,1.2270669525851798,683.0050221641279,8.380928911473095
PB,Nordeste,4018127.0,46331,761,1.6425287604411734,1153.0496671707988,18.939172405451597
PR,Sul,11433957.0,269249,3876,1.439559664102745,2354.819070948054,33.89902550796719
PE,Nordeste,9557071.0,78894,1311,1.6617233249676782,825.5039645514825,13.717591927484897
PI,Nordeste,3273227.0,32009,434,1.3558686619388296,977.9034573526369,13.259086522260754
RJ,Sudeste,17264943.0,166613,7221,4.333995546565994,965.0364904187636,41.82463851748598
RN,Nordeste,3506853.0,45460,597,1.3132424109106908,1296.318950352353,17.0238102366994
RS,Sul,11377239.0,225224,3856,1.7120733136788264,1979.6015535930994,33.892229916238904
RO,Norte,1777225.0,44125,683,1.5478753541076486,2482.8032466345003,38.430699545639975
RR,Norte,605761.0,10793,129,1.1952191235059761,1781.7257961473256,21.295527443991936
SC,Sul,7164788.0,212471,2578,1.213342056092361,2965.4889998140907,35.981525203537075
SP,Sudeste,45919049.0,535715,10939,2.0419439440747413,1166.6509034191888,23.822357470861384
SE,Nordeste,2298696.0,47269,470,0.9943091666842963,2056.3397682860195,20.44637481424251
TO,Norte,1572866.0,20585,218,1.0590235608452756,1308.757389377099,13.860049107807022
